"region2","year","co2","population","gdp","gdp_per_capita","co2_per_capita","accumulated_co2"
"developed (excluding eastern block)",2022,9794601403.33333,1023480562,45516258.4136667,44469.9412804254,9.56965714244834,546381984343.333
NA,1994,2635056000,241771695.666667,1192744.86866667,4938.94604676314,10.9173693849272,5391208933.33333
NA,1995,2491553766.66667,246222698.666667,1148944.42,4665.82682210617,10.1179442262988,7882762700
NA,1996,2334009166.66667,245658884,1088807.80366667,4432.05858586007,9.50064420954969,10216771866.6667
NA,1997,2252125833.33333,245048155.333333,1079882.198,4406.84971392883,9.18992624751733,12468897700
NA,1998,2181406133.33333,244364773.333333,1070922.656,4382.4670505206,8.926306047948,14650303833.3333
NA,1999,2125314166.66667,243593907.333333,1084039.174,4450.31831907509,8.72465678934462,16775618000
NA,2000,2100514133.33333,242695317,1119356.889,4613.00708218776,8.65481055446319,18876132133.3333
NA,2001,2106666000,241645865.333333,1184039.739,4900.90225070156,8.71835534588872,20982798133.3333
NA,2002,2112134866.66667,240663274.666667,1251837.426,5202.28984762666,8.77664343358939,23094933000
NA,2003,2142088266.66667,239827826.333333,1320086.19733333,5504.90079289336,8.93193577370164,25237021266.6667
NA,2004,2157752566.66667,239013611.666667,1401757.94166667,5865.77336878444,9.02814396572682,27394773833.3333
NA,2005,2187450933.33333,238053651,1495649.18733333,6284.18842506623,9.18928971411351,29582224766.6667
NA,2006,2228581500,236989111,1601636.994,6759.71206495886,9.40450346797503,31810806266.6667
NA,2007,2267717100,236099677.333333,1721684.229,7293.45326202317,9.60544271394767,34078523366.6667
NA,2008,2322283333.33333,238151040,1852700.27066667,7775.7808789774,9.75129017846301,36400806700
NA,2009,2286368066.66667,240421756,1890176.40766667,7862.10081560587,9.51249841963635,38687174766.6667
NA,2010,2285980033.33333,242789153,1903289.50666667,7839.13602437462,9.41539184170024,40973154800
NA,2011,2285711633.33333,242511502,1897387.406,7824.12595906945,9.42546509816785,43258866433.3333
NA,2012,2346152100,242311391.333333,1961174.81733333,8093.72806145324,9.68245863576541,45605018533.3333
NA,2013,2343600233.33333,242223979.333333,2011724.038,8305.2261923571,9.67534921999737,47948618766.6667
NA,2014,2298468700,242224231,2043779.139,8437.54339729582,9.48903301483516,50247087466.6667
NA,2015,2242929666.66667,242251104.333333,2051316.64,8467.72994062023,9.25870557162212,52490017133.3333
NA,2016,2216364933.33333,242298590.333333,2055398.241,8482.91269691105,9.14725110982723,54706382066.6667
NA,2017,2218673633.33333,242347165.333333,2071894.711,8549.26423939203,9.15492683522402,56925055700
NA,2018,2250698333.33333,242323661.333333,2116464.13566667,8734.10156032195,9.28803200358293,59175754033.3333
NA,2019,2267444500,242149442,2173141.10966667,8974.56578768968,9.36385259326818,61443198533.3333
NA,2020,2238928333.33333,241745328.333333,2189941.933,9058.82574321231,9.26111387478944,63682126866.6667
NA,2021,2223942366.66667,240993552,2225291.88733333,9234.30971933262,9.22835500778742,65906069233.3333
NA,2022,2174823566.66667,239197279,2226823.83633333,9310.85516873583,9.09176499154107,68080892800
