"ISO3","ISO2","year","co2","population","gdp","region","unctad_development_status","region2","gdp_per_capita","co2_per_capita","accumulated_co2"
"CPV","CV",1983,35418.6666666667,332741.333333333,317.751666666667,"Africa","developing","Africa",954.527276616171,0.106406187036473,1131686
"CPV","CV",1984,52517.3333333333,337627.666666667,334.751,"Africa","developing","Africa",991.00931867169,0.15489359784709,1184203.33333333
"CPV","CV",1985,68394.6666666667,342508,359.079,"Africa","developing","Africa",1047.92408326077,0.199054364400265,1252598
"CPV","CV",1986,75722.6666666667,347394,377.217333333333,"Africa","developing","Africa",1085.42979338239,0.218349203320762,1328320.66666667
"CPV","CV",1987,74501.3333333333,352326.333333333,396.734333333333,"Africa","developing","Africa",1125.81781950632,0.211534479548251,1402822
"CPV","CV",1988,70837.3333333333,357314.333333333,414.307,"Africa","developing","Africa",1159.10977272625,0.198082322078717,1473659.33333333
"CPV","CV",1989,78165.3333333333,362478,436.497666666667,"Africa","developing","Africa",1203.71295059021,0.215669933850393,1551824.66666667
"CPV","CV",1990,111142.666666667,368520,454.077,"Africa","developing","Africa",1231.9918263301,0.299878482024429,1662967.33333333
"CPV","CV",1991,141676,375939,465.604,"Africa","developing","Africa",1238.72783474717,0.37536969044947,1804643.33333333
"CPV","CV",1992,174653.333333333,384476.333333333,473.618333333333,"Africa","developing","Africa",1231.88148536214,0.454437048134585,1979296.66666667
"CPV","CV",1993,172210,393322,492.407,"Africa","developing","Africa",1251.39736945307,0.437834670978368,2151506.66666667
"CPV","CV",1994,175873.333333333,401869.333333333,521.045,"Africa","developing","Africa",1295.68916769555,0.437832024010601,2327380
"CPV","CV",1995,181980,410099,558.809333333333,"Africa","developing","Africa",1361.72885665048,0.44345491289989,2509360
"CPV","CV",1996,196636.666666667,417971,598.104666666667,"Africa","developing","Africa",1430.09448836629,0.469969586715342,2705996.66666667
"CPV","CV",1997,213736.666666667,425494.333333333,641.635666666667,"Africa","developing","Africa",1507.07544498377,0.502027615173893,2919733.33333333
"CPV","CV",1998,228390,432721,690.544,"Africa","developing","Africa",1594.75737722296,0.527570715273364,3148123.33333333
